id,run_id,ts_utc,category,campaign_id,target,final_score,business_score,compliance_score,ground_truth_score,gt_avg_similarity,gt_coverage,gt_llm_calls,total_recommendations,total_ground_truth,business_flag_count,compliance_flag_count,gt_flag_count,weak_recommendations_count,has_missing_key_expert_insights,has_low_similarity_to_expert,has_invalid_recommendation_count,has_missing_required_fields,has_priority_not_sorted,has_possible_hallucination,raw_log_path,ingested_at_utc
402ee0dc-074e-4454-8599-ffb4e34d9d35,run_20260420_174047,2026-04-20T17:40:47Z,Customer Acquisition,,,0.714,0.97,0.6,0.608,0.593,0.756,4,6,4,0,0,1,0,0,1,0,0,0,0,evaluation_logs/recommendation/eval_20260420_174047.json,2026-04-26T21:49:03.120165+00:00
99f435f4-a81e-4472-862a-4a4b812da5f8,run_20260420_174216,2026-04-20T17:42:16Z,Customer Satisfaction,,,0.67,0.825,0.6,0.606,0.562,0.797,5,7,3,0,0,1,0,0,1,0,0,0,0,evaluation_logs/recommendation/eval_20260420_174216.json,2026-04-26T21:49:03.120165+00:00
750f6930-a9d6-45c1-8fdf-665902a5fc33,run_20260420_201623,2026-04-20T20:16:23Z,Customer Acquisition,,,0.724,0.96,0.6,0.641,0.64,0.767,3,6,4,0,0,0,0,0,0,0,0,0,0,evaluation_logs/recommendation/eval_20260420_201623.json,2026-04-26T21:49:03.120165+00:00
76b65ade-b582-4501-b00b-f3de26027b6b,run_20260420_201749,2026-04-20T20:17:49Z,Customer Satisfaction,,,0.708,0.8,0.6,0.721,0.678,0.91,4,7,3,0,0,0,0,0,0,0,0,0,0,evaluation_logs/recommendation/eval_20260420_201749.json,2026-04-26T21:49:03.120165+00:00
5911e8db-9677-4937-89a7-9d88d7ff20b7,run_20260420_201905,2026-04-20T20:19:05Z,Revenue Growth,,,0.75,1.0,0.6,0.675,0.681,0.79,4,7,4,0,0,0,0,0,0,0,0,0,0,evaluation_logs/recommendation/eval_20260420_201905.json,2026-04-26T21:49:03.120165+00:00
8584567e-5b0d-4639-a2a8-8896cbf0e03f,run_20260420_202016,2026-04-20T20:20:16Z,Customer Retention,,,0.663,0.815,0.6,0.597,0.585,0.74,6,7,3,0,0,1,0,0,1,0,0,0,0,evaluation_logs/recommendation/eval_20260420_202016.json,2026-04-26T21:49:03.120165+00:00
